Node Number	Shear Stress (MPa)
1103	-2.5972
1104	-2.3245
1105	-1.9916
1106	-2.5842
1107	-0.10352
1108	-0.12096
1109	-0.14461
1110	-0.14172
1111	-0.10664
1112	-3.1376e-002
1113	5.9721e-002
1114	0.15376
1115	0.22879
1116	0.30959
1117	0.42532
1118	-0.17345
1119	-0.19849
1120	-0.19261
1121	-0.15135
1122	-5.6408e-002
1123	6.5205e-002
1124	0.19569
1125	0.3163
1126	0.42589
1127	0.68162
1128	-0.18119
1129	-0.34317
1130	-0.35172
1131	-0.2966
1132	-0.2038
1133	1.212
1134	1.2655
1135	0.88875
1136	-0.20379
1137	-0.18964
1138	-0.11549
1139	-8.7252e-003
1140	0.13873
1141	0.27543
1142	0.39587
1143	0.449
1144	-0.29456
1145	-0.37476
1146	0.61317
1147	-0.24292
1148	-0.28578
1149	-0.26902
1150	-0.21318
1151	-9.6397e-002
1152	6.321e-002
1153	0.23684
1154	0.41429
1155	0.50229
1156	-0.30713
1157	-0.30779
1158	-0.29104
1159	-0.1933
1160	-4.2795e-002
1161	0.15818
1162	0.36035
1163	0.53715
1164	0.85872
1165	-0.39363
1166	-0.39288
1167	1.1451
1168	1.0984
1169	0.79351
1170	-0.28777
1171	-0.20154
1172	-3.6808e-002
1173	0.14966
1174	0.35385
1175	0.55749
1176	0.6366
1177	-0.33548
1178	-0.33793
1179	-0.28349
1180	-0.1433
1181	4.9107e-002
1182	0.26179
1183	0.45995
1184	0.67698
1185	-0.40568
1186	-0.43019
1187	-0.34762
1188	-0.38193
1189	-0.32351
1190	-0.16715
1191	2.4272e-002
1192	0.24752
1193	0.48409
1194	-0.4237
1195	-0.37408
1196	-0.27126
1197	-9.3172e-002
1198	0.1377
1199	0.38466
1200	0.61415
1201	0.91621
1202	-0.45252
1203	1.0357
1204	0.9809
1205	0.65765
1206	0.72194
1207	-0.3638
1208	-0.20986
1209	-2.9555e-003
1210	0.26194
1211	0.52126
1212	0.7905
1213	-0.44508
1214	-0.44114
1215	0.82128
1216	-0.42711
1217	-0.31794
1218	-0.15876
1219	0.10139
1220	0.35698
1221	-0.45106
1222	-0.32259
1223	-0.16463
1224	8.592e-002
1225	0.36703
1226	0.64479
1227	-0.47383
1228	0.93647
1229	-2.9761e-002
1230	0.20679
1231	0.49989
1232	0.7469
1233	-0.3942
1234	-3.7385e-002
1235	0.23266
1236	0.82815
1237	-0.47016
1238	-0.40355
1239	-0.29968
1240	-0.12105
1241	2.071e-002
1242	0.28724
1243	-0.44284
1244	0.15565
1245	0.51135
1246	0.73044
1247	0.64811
1248	0.35215
1249	0.41961
1250	0.435
1251	0.50685
1252	0.4732
1253	0.40126
1254	0.31688
1255	0.17026
1256	1.4335e-002
1257	-0.16116
1258	0.38757
1259	0.57771
1260	0.68672
1261	0.72395
1262	0.74867
1263	0.63739
1264	0.48167
1265	0.26881
1266	3.5384e-002
1267	-0.20459
1268	-0.21802
1269	-0.20197
1270	-0.25557
1271	0.39857
1272	0.34419
1273	0.71743
1274	0.42546
1275	0.56192
1276	0.56237
1277	0.64553
1278	0.71493
1279	0.69698
1280	0.57014
1281	0.39405
1282	0.16614
1283	-7.9946e-002
1284	-0.21659
1285	0.31612
1286	0.37745
1287	0.75797
1288	0.71109
1289	0.77537
1290	0.87539
