Node Number	Normal Stress (MPa)
1261	-9.6193e-002
1262	-3.4819e-002
1263	-5.5785e-002
1264	-2.3018e-002
1265	-1.2087e-002
1266	3.0666e-003
1267	6.3268e-002
1268	4.6944e-002
1269	7.2137e-003
1270	-9.0971e-002
1271	-0.93033
1272	-0.45052
1273	-0.89556
1274	-0.68467
1275	-0.29677
1276	0.22635
1277	-0.12653
1278	-0.21578
1279	-0.19384
1280	-0.13707
1281	-3.2862e-002
1282	-1.1762e-002
1283	-0.11304
1284	-0.1657
1285	-0.62291
1286	0.23666
1287	0.37913
1288	0.39394
1289	0.17307
1290	-7.0324e-002
1291	-0.1781
1292	-0.13991
1293	-5.1304e-002
1294	-5.6657e-003
1295	-3.3024e-002
1296	-0.48727
1297	-0.13578
1298	-3.0708e-002
1299	-4.5821e-002
1300	-2.8473e-002
1301	-9.6441e-003
1302	-5.6593e-003
1303	-1.2283e-002
1304	1.152e-002
1305	1.0513e-003
1306	-5.7275e-003
1307	-5.6547e-002
1308	-0.5374
1309	-0.19158
1310	6.8714e-002
1311	-0.10733
1312	-0.12263
1313	-5.9991e-002
1314	-1.2114e-002
1315	-4.9024e-004
1316	-4.3444e-002
1317	-0.28014
1318	-0.11113
1319	-5.4791e-002
1320	-4.922e-002
1321	-2.5947e-002
1322	-1.5052e-002
1323	-3.8163e-003
1324	-7.5066e-004
1325	-0.31529
1326	-0.33933
1327	1.1853e-002
1328	0.1903
1329	4.7889e-003
1330	-6.0648e-002
1331	-8.3968e-002
1332	-3.3477e-002
1333	2.9198e-002
1334	-0.18644
1335	-0.11085
1336	-4.017e-002
1337	-5.3108e-002
1338	-2.4195e-002
1339	-1.791e-002
1340	-7.4512e-003
1341	-2.6772e-003
1342	1.2531e-002
1343	-1.2861e-002
1344	-0.19467
1345	2.0082e-002
1346	5.2591e-003
1347	-8.4775e-002
1348	-5.1681e-002
1349	-3.8951e-002
1350	-8.7363e-003
1351	4.0632e-003
1352	2.1017e-002
1353	-7.6914e-003
1354	-0.24595
1355	-2.945e-002
1356	1.7979e-002
1357	1.9513e-003
1358	-1.6967e-002
1359	-3.7321e-002
1360	-2.1443e-002
1361	-9.0203e-002
1362	-4.1909e-002
1363	-2.836e-002
1364	-1.6777e-002
1365	-1.3697e-003
1366	-8.7506e-004
1367	2.7571e-002
1368	-0.14012
1369	-3.2259e-002
1370	-6.1606e-003
1371	2.8466e-002
1372	1.3257e-002
1373	-3.7179e-002
1374	-1.9416e-002
1375	-1.5116e-002
1376	-1.7287e-002
1377	-5.9546e-002
1378	-3.1268e-003
