Node Number	Shear Stress (MPa)
987	-1.2583
988	-1.089
989	-0.44845
990	0.21368
991	0.6351
992	0.3425
993	-0.16798
994	7.9227e-002
995	-0.19453
996	-0.47495
997	-0.52139
998	-0.48964
999	-0.43513
1000	0.2392
1001	-9.1521e-002
1002	-0.35738
1003	-0.47332
1004	-0.37387
1005	-8.24e-002
1006	-0.40962
1007	0.22983
1008	-0.49114
1009	-0.68179
1010	-0.7373
1011	-0.56409
1012	8.3545e-002
1013	-0.2436
1014	-0.29048
1015	0.10463
1016	-0.18686
1017	-0.18273
1018	-0.55982
1019	-0.58565
1020	-0.48255
1021	1.6672e-002
1022	-0.58366
1023	-0.68259
1024	-0.65226
1025	-0.40423
1026	-0.62213
1027	0.87721
1028	-8.4143e-002
1029	0.48516
1030	2.004
1031	3.1934
1032	2.9575
1033	3.1022
1034	0.56796
1035	0.72127
1036	3.6059
1037	5.0631
1038	4.053
1039	3.2042
1040	2.1056
1041	0.15409
1042	1.6486
1043	3.1622
1044	4.4693
1045	0.33858
1046	4.8633
1047	3.4719
1048	0.95314
1049	3.0813e-002
1050	4.06e-002
1051	1.5537
1052	3.908
1053	4.3201
1054	0.68721
1055	0.8744
1056	3.4114
1057	4.4611
1058	0.4918
1059	2.8153
1060	-1.4391
1061	-1.2855
1062	-0.65431
1063	-0.28543
1064	-1.6644
1065	-0.79605
1066	-0.12055
1067	-1.3888e-003
1068	-9.9957e-002
1069	-1.8087
1070	-1.6966
1071	-1.1015
1072	-0.67791
1073	-1.5798
1074	-1.1476
1075	-0.42318
1076	-0.14672
1077	-1.779
1078	-1.6241
1079	-0.61018
1080	-0.85134
1081	-0.30545
1082	-1.7658
1083	-1.316
1084	-1.0402
1085	-1.2692
1086	-0.62043
1087	-0.52093
1088	-0.12897
1089	8.4875e-002
1090	-2.7867e-002
1091	-0.18122
1092	-1.231
1093	-1.494
1094	-1.3873
1095	-1.0462
1096	-0.86894
1097	-1.1914
1098	-1.1511
1099	-0.37682
1100	-0.27097
1101	-0.43121
1102	-0.89267
1103	-0.75125
1104	-0.77721
1105	-0.37231
1106	-0.6248
1107	8.4287e-002
1108	0.11827
1109	0.17835
1110	0.26541
1111	0.36529
1112	0.41674
1113	0.43762
1114	0.45215
1115	0.38775
