Node,X,Y
      330.,  0.10825318E-01, -0.75000000E-03,  0.12500000E-02
      331., -0.56893058E-02,  0.79791667E-02,  0.38541667E-02
      332.,  0.10211103E-01,  0.18422067E-03,  0.38310185E-02
      333.,  0.61004589E-02,  0.72112699E-02,  0.37528578E-02
      334.,  0.11732746E-01, -0.72427782E-02,  0.39245544E-02
      335., -0.40782645E-02, -0.89239940E-02,  0.36201862E-02
      336., -0.84450704E-02, -0.27759228E-02,  0.12500000E-02
      337.,  0.16973452E-02,  0.10221538E-01,  0.12500000E-02
      338.,  0.32370208E-02, -0.90000000E-02,  0.35221354E-02
      339.,  0.11193433E-01, -0.37794070E-02,  0.12500000E-02
      340., -0.23776413E-02, -0.77254249E-03,  0.50000000E-02
      341., -0.25000000E-02,  0.00000000E+00,  0.43750000E-02
      342., -0.30000000E-02,  0.00000000E+00,  0.50000000E-02
      343., -0.27655445E-02,  0.87500000E-03,  0.50000000E-02
      344., -0.30000000E-02,  0.00000000E+00,  0.43750000E-02
      345., -0.27655445E-02, -0.87500000E-03,  0.50000000E-02
      346., -0.23776413E-02,  0.77254249E-03,  0.50000000E-02
      347.,  0.23776413E-02, -0.77254249E-03,  0.50000000E-02
      348.,  0.25000000E-02,  0.30616170E-18,  0.43750000E-02
      349.,  0.30000000E-02,  0.36739404E-18,  0.50000000E-02
      350.,  0.27655445E-02,  0.87500000E-03,  0.50000000E-02
      351.,  0.30000000E-02,  0.36739404E-18,  0.43750000E-02
      352.,  0.27655445E-02, -0.87500000E-03,  0.50000000E-02
      353.,  0.23776413E-02,  0.77254249E-03,  0.50000000E-02
      354., -0.14694631E-02, -0.20225425E-02,  0.50000000E-02
      355., -0.20225425E-02, -0.14694631E-02,  0.37500000E-02
      356., -0.23776413E-02, -0.77254249E-03,  0.43750000E-02
      357., -0.25268157E-02, -0.16097316E-02,  0.50000000E-02
      358., -0.18862712E-02, -0.22502760E-02,  0.50000000E-02
      359., -0.45924255E-18, -0.25000000E-02,  0.50000000E-02
      360., -0.77254249E-03, -0.23776413E-02,  0.37500000E-02
      361., -0.14694631E-02, -0.20225425E-02,  0.37500000E-02
      362., -0.12612712E-02, -0.27043651E-02,  0.50000000E-02
      363., -0.38627124E-03, -0.29388206E-02,  0.50000000E-02
      364.,  0.14694631E-02, -0.20225425E-02,  0.50000000E-02
      365.,  0.77254249E-03, -0.23776413E-02,  0.37500000E-02
      366., -0.17510364E-18, -0.25000000E-02,  0.37500000E-02
      367.,  0.38627124E-03, -0.29388206E-02,  0.50000000E-02
      368.,  0.12612712E-02, -0.27043651E-02,  0.50000000E-02
      369.,  0.23776413E-02, -0.77254249E-03,  0.43750000E-02
      370.,  0.20225425E-02, -0.14694631E-02,  0.37500000E-02
      371.,  0.14694631E-02, -0.20225425E-02,  0.37500000E-02
      372.,  0.18862712E-02, -0.22502760E-02,  0.50000000E-02
      373.,  0.25268157E-02, -0.16097316E-02,  0.50000000E-02
      374.,  0.25000000E-02,  0.30616170E-18,  0.31250000E-02
      375.,  0.23776413E-02, -0.77254249E-03,  0.25000000E-02
      376.,  0.30000000E-02,  0.36739404E-18,  0.25000000E-02
      377.,  0.27655445E-02,  0.87500000E-03,  0.25000000E-02
      378.,  0.27655445E-02, -0.87500000E-03,  0.25000000E-02
      379.,  0.23776413E-02,  0.77254249E-03,  0.25000000E-02
      380.,  0.25490380E-02,  0.75000000E-03,  0.12500000E-02
      381.,  0.12500000E-02,  0.10412593E-17,  0.25000000E-02
      382.,  0.23776413E-02, -0.77254249E-03,  0.31250000E-02
      383.,  0.27655445E-02,  0.87500000E-03,  0.43750000E-02
      384.,  0.30000000E-02,  0.36739404E-18,  0.31250000E-02
      385.,  0.30000000E-02,  0.36739404E-18,  0.37500000E-02
      386.,  0.27655445E-02,  0.87500000E-03,  0.31250000E-02
      387.,  0.27655445E-02, -0.87500000E-03,  0.31250000E-02
      388.,  0.27655445E-02, -0.87500000E-03,  0.43750000E-02
      389.,  0.23776413E-02,  0.77254249E-03,  0.43750000E-02
      390.,  0.23776413E-02,  0.77254249E-03,  0.31250000E-02
      391., -0.23776413E-02, -0.77254249E-03,  0.25000000E-02
      392., -0.25000000E-02,  0.00000000E+00,  0.31250000E-02
      393., -0.30000000E-02,  0.00000000E+00,  0.25000000E-02
      394., -0.27655445E-02,  0.87500000E-03,  0.25000000E-02
      395., -0.30000000E-02,  0.00000000E+00,  0.31250000E-02
      396., -0.27655445E-02, -0.87500000E-03,  0.25000000E-02
      397., -0.23776413E-02,  0.77254249E-03,  0.25000000E-02
      398., -0.35028685E-02, -0.24850324E-03,  0.12500000E-02
      399., -0.17912660E-02,  0.12500000E-03,  0.12500000E-02
      400., -0.12500000E-02,  0.88817842E-18,  0.25000000E-02
      401.,  0.14694631E-02, -0.20225425E-02,  0.25000000E-02
      402.,  0.18862712E-02, -0.22502760E-02,  0.25000000E-02
      403.,  0.25268157E-02, -0.16097316E-02,  0.25000000E-02
      404.,  0.18862712E-02, -0.22502760E-02,  0.37500000E-02
      405.,  0.25268157E-02, -0.16097316E-02,  0.37500000E-02
      406.,  0.17582140E-02, -0.21178502E-02,  0.12500000E-02
      407.,  0.23103092E-02,  0.15268435E-04,  0.12500000E-02
      408.,  0.10112713E-02, -0.73473157E-03,  0.25000000E-02
      409.,  0.15308085E-18, -0.25000000E-02,  0.25000000E-02
      410.,  0.38627124E-03, -0.29388206E-02,  0.25000000E-02
      411.,  0.12612712E-02, -0.27043651E-02,  0.25000000E-02
      412.,  0.38627124E-03, -0.29388206E-02,  0.37500000E-02
      413.,  0.12612712E-02, -0.27043651E-02,  0.37500000E-02
      414.,  0.11332140E-02, -0.25719393E-02,  0.12500000E-02
      415.,  0.38627126E-03, -0.11888206E-02,  0.25000000E-02
      416., -0.14694631E-02, -0.20225425E-02,  0.25000000E-02
